atlas_name,Full_Name
S1,2019-038_BSP_0018_F1-L001
S2,2019-038_BSP_0018_F2-L001
S3,2019-038_BSP_0027_F1-L002
S4,2019-038_BSP_0027_F2-L002
S5,2019-038_BSP_0051_F1-L002
S6,2019-038_BSP_0051_F2-L001
S7,2019-038_BSP_0076_F1-L001
S8,2019-038_BSP_0076_F2-L001
S9,2019-038_BSP_0092_F1-L002
S10,2019-038_BSP_0092_F2-L002
S11,2019-038_BSP_0109_F2-L002
S12,2019-038_BSP_0111_F1-L002
S13,2019-038_BSP_0111_F2-L002
S14,2019-038_BSP_0219_F1-L001
S15,2019-038_BSP_0219_F2-L001
S16,2019-038_BSP_0238_F1-L001
S17,2019-038_BSP_0238_F2-L001
S18,2019-038_BSP_0246_F1-L001
S19,2019-038_BSP_0246_F2-L001
S20,2019-038_BSP_0264_F1-L001
S21,2019-038_BSP_0264_F2-L001
S22,2019-038_BSP_0306_F1-L001
S23,2019-038_BSP_0306_F2-L001
S24,2019-038_BSP_0337_F1-L001
S25,2019-038_BSP_0337_F2-L001
S26,2019-038_BSP_0350_F2-L001
S27,2019-038_BSP_0402_F1-L001
S28,2019-038_BSP_0402_F2-L001
S29,2019-038_BSP_0406_F1-L001
S30,2019-038_BSP_0449_F1-L002
S31,2019-038_BSP_0449_F2-L001
S32,2019-038_BSP_0676_F1-L001
S33,2019-038_BSP_0676_F2-L001
S34,2019-038_BSP_0682_F1-L001
S35,2019-038_BSP_0682_F2-L001
S36,2019-038_BSP_0707_F1-L002
S37,2019-038_BSP_0707_F2-L002
S38,2019-038_BSP_0803_F1-L002
S39,2019-038_BSP_0891_F1-L002
S40,2019-038_BSP_0891_F2-L001
S41,2019-038_BSP_0930_F1-L001
S42,2019-038_BSP_0930_F2-L001
S43,2019-038_BSP_0962_F1-L001
S44,2019-038_BSP_0962_F2-L001
S45,2019-038_BSP_0983_F1-L002
S46,2019-038_BSP_1010_F1-L001
S47,2019-038_BSP_1010_F2-L002
S48,2019-038_BSP_1128_F2-L002
S49,2019-038_BSP_1228_F1-L001
S50,2019-038_BSP_1228_F2-L002
S51,2019-038_BSP_1231_F1-L002
S52,2019-038_BSP_1231_F2-L002
S53,2019-038_BSP_1273_F1-L001
S54,2019-038_BSP_1273_F2-L001
S55,2019-038_BSP_1324_F1-L002
S56,2019-038_BSP_1324_F2-L002
S57,2019-038_BSP_1374_F1-L002
S58,2019-038_BSP_1374_F2-L001
S59,2019-038_BSP_1442_F1-L001
S60,2019-038_BSP_1442_F2-L001
S61,2019-038_BSP_1447_F1-L001
S62,2019-038_BSP_1447_F2-L002
S63,2019-038_BSP_1497_F2-L002
S64,2019-038_BSP_1519_F1-L002
S65,2019-038_BSP_1519_F2-L001
S66,2019-038_BSP_1568_F2-L002
S67,2019-038_BSP_1609_F1-L001
S68,2019-038_BSP_1632_F1-L002
S69,2019-038_BSP_1632_F2-L001
S70,2019-038_BSP_1651_F1-L001
S71,2019-038_BSP_1651_F2-L001
S72,2019-038_BSP_1676_F1-L001
S73,2019-038_BSP_1676_F2-L002
S74,2019-038_BSP_1722_F1-L002
S75,2019-038_BSP_1722_F2-L001
S76,2019-038_BSP_1729_F1-L001
S77,2019-038_BSP_1729_F2-L002
S78,2019-038_BSP_1735_F1-L001
S79,2019-038_BSP_1735_F2-L001
S80,2019-038_BSP_1742_F1-L002
S81,2019-038_BSP_1742_F2-L002
S82,2019-038_BSP_1754_F1-L002
S83,2019-038_BSP_1754_F2-L001
S84,2019-038_BSP_1755_F1-L002
S85,2019-038_BSP_1755_F2-L001
S86,2019-038_BSP_1756_F1-L002
S87,2019-038_BSP_1756_F2-L001
S88,2019-038_BSP_1796_F1-L001
