sample,unmapped,Reads_pe,Bases_pe
I12311,20.762466,15598876,4624059225
I12312,19.023626,17870303,5297969759
I12313,20.12692,25266560,7481899936
I12314,18.24649,21501946,6340804299
I12315,18.310863,25878728,7682404483
I12316,24.175877,23149604,6857985858
I12317,16.090048,25064741,7410862126
I12318,20.567715,24281599,7194615733
I12319,21.017998,21578627,6395641479
I12320,17.665958,24630526,7297947661
I12321,20.003664,19767176,5830483856
I12322,20.578825,20541794,6088243750
I12323,22.753101,25037882,7422143110
I12324,23.074364,25035791,7365738769
I12325,18.764692,21528920,6361682096
I12326,27.01416,23719724,7019203194
I12327,19.66312,19985487,5905172385
I12328,24.767721,16295532,4813979876
I12329,17.720938,17985030,5298312997
I12330,14.898223,21886682,6492834272
I12331,25.501013,18806422,5557870199
I12332,17.582989,19488722,5779307600
I12333,37.788193,19706772,5815565315
I12334,22.169472,21584600,6361423438
I12335,22.09267,19322238,5689301749
I12336,25.567657,24845781,7360349134
I12337,18.811506,21176231,6282318156
I12338,16.767288,23927309,7090317021
I12339,26.63597,21331061,6313433073
I12340,19.699764,21234403,6300720223
I12341,23.550808,21316064,6274254919
I12342,22.970993,20468430,6062413815
I12343,26.278025,17866664,5287796707
I12344,21.906685,22981687,6803044062
I12345,19.580137,26181804,7713230999
I12346,17.091019,25118108,7443282536
I12347,16.330082,15292567,4517901172
I12348,23.272532,18631939,5565193597
I12349,19.655287,15874752,4691040426
I12350,24.01681,21530475,6387764470
I12351,19.70955,26398624,7760858869
I12352,23.808502,20119865,5936390583
I12353,18.557364,20965585,6185889953
I12354,20.73272,23447182,6914199030
I12355,21.557707,19076863,5647182910
I12356,20.173342,23281480,6897371544
I12357,20.816063,19329806,5712525710
I12358,22.100586,23730834,7006347852
I12359,20.67638,19264806,5673837752
I12360,19.755035,20961026,6188302133
I12361,26.540983,18006661,5319658924
I12362,21.75027,22036597,6536670184
I12363,20.760048,19169301,5653607773
I12364,23.350018,21356157,6291588240
I12365,17.745888,32908230,9674634878
I12366,19.419216,18743276,5594395998
I12367,20.233334,19611993,5829604954
I12368,19.683426,19253702,5676384638
I12369,23.950476,20683208,6137631824
I12370,22.732437,24891349,7372467526
I12371,20.523304,19652489,5811756719
I12372,22.521097,19050120,5613123333
I12373,20.521843,25753552,7580380224
I12374,22.820372,21297202,6279088283
I12375,20.411407,19833371,5870860776
I12376,26.4606,18730897,5532575654
I12377,21.894062,18310153,5425044994
I12378,41.53335,16271720,4800626238
I12379,18.211746,23079170,6570321639
I12380,19.941437,23941412,7020308983
I12381,24.735731,31805987,9339612516
I12382,22.56226,22038246,6495414347
I12383,20.889627,18412726,5463730868
I12384,20.179998,21017283,6231609130
I12385,20.79103,16539720,4781735413
I12386,22.477192,19108672,5657981376
I12387,21.244972,16602527,4918608660
I12388,24.274557,23013537,6773822888
I12389,24.145681,22130822,6542553584
I12390,20.823706,16178274,4751316315
I12391,18.877565,18734002,5568653420
I12392,22.614807,19478527,5761709674
I12393,21.479511,21203693,6279475597
I12394,21.453112,20515988,6067124363
I12395,24.99358,20459828,6045274632
I12396,21.090633,16615459,4940610926
I12397,23.358654,17839858,5254823827
I12398,23.438978,18249289,5396012415
I12399,22.24741,16812529,5005409370
I12400,20.262587,21730857,6422318057
I12401,20.949453,19214367,5679973251
I12402,17.455704,25883414,7675050292
I12403,23.8927,19183716,5713484010
I12404,20.149029,17792856,5272009491
I12405,21.293604,21710302,6360621872
I12406,19.51223,22530794,6679516856
I12407,22.040642,23638525,6848257636
I12408,20.553213,21152682,6180349333
I12409,21.932316,25937701,7571630119
I12410,19.158077,16614427,4852758162
I12411,27.098793,18546053,5410620670
I12412,22.089375,19876002,5786957404
I12413,23.760546,21745228,6375646322
I12414,20.770191,19412192,5707833412
I12415,18.814367,22057493,6504158721
I12416,17.644238,21242618,6188891882
I12417,21.326494,17126255,4992111677
I12418,20.59571,16579537,4836294535
I12419,20.509094,22062416,6423775837
I12420,21.72761,20270879,5967999210
I12421,18.995565,23953812,7020443674
I12422,22.10471,19642179,5766868298
I12423,24.310905,24920152,7061920564
I12424,23.362917,16873092,4941807420
I12425,21.966135,18566290,5453160744
I12426,24.193811,17475224,5150156674
I12427,22.560287,19908285,5845952417
I12428,20.628113,16928548,4959260945
I12429,22.396772,21875456,6415424776
I12430,19.049257,27059993,7929440851
I12431,22.69376,16730078,4888611298
I12432,19.94391,20607043,6031374883
I12433,24.860472,15854012,4655456904
I12434,18.942982,25336426,7425633131
I12435,21.595049,18799797,5518644974
I12436,19.65121,21690102,6364566971
I12437,20.134853,26585343,7741851642
I12438,21.299404,19273139,5623097848
I12439,23.492353,17098501,5015558368
I12440,21.391487,23831558,6979617590
I12441,18.294436,23622503,6923348766
