sample,unmapped,Reads_pe,Bases_pe
EGAF00001150354,25.772835,11516177,2140263608
EGAF00001150355,28.030968,10417094,1891209500
EGAF00001150356,25.552547,12017445,2213339371
EGAF00001150360,28.916948,12539144,2301046751
EGAF00001150362,26.8524,13599391,2533375452
EGAF00001150363,20.302551,15350215,2868309974
EGAF00001150368,24.502003,19855859,3693390302
EGAF00001150372,25.058508,16257989,3010091691
EGAF00001150376,23.27627,19651106,3653606094
EGAF00001150379,20.368427,18660918,3481445966
EGAF00001150381,27.183521,11181926,2069444464
EGAF00001150383,20.789974,13640872,2531903443
EGAF00001150386,26.519018,16215923,2992346500
EGAF00001150398,29.723251,11966621,2178240746
EGAF00001150405,24.385952,11789394,2239671448
EGAF00001150407,25.286686,17086745,3107669571
EGAF00001150408,24.623425,12034806,2109617358
EGAF00001150409,21.055967,17235294,3158795315
EGAF00001150411,27.359795,13986821,2616213833
EGAF00001150413,24.5471,8453554,1520087776
EGAF00001150414,29.100567,14559832,2714804499
EGAF00001150417,23.096943,20571012,3788580856
EGAF00001150424,28.360771,27585737,5093146374
EGAF00001150425,22.844059,20587566,3803876205
EGAF00001150428,24.07562,15137285,2861932155
EGAF00001150429,28.24046,20354324,3722799226
EGAF00001150432,24.006039,13728719,2549545726
EGAF00001150434,27.231306,10212811,1861075616
EGAF00001150435,21.44482,20412454,3754132236
EGAF00001150436,27.069986,11073485,2028099284
EGAF00001150442,24.37954,10121718,1894150233
EGAF00001150445,22.300709,15128463,2753093278
EGAF00001150447,21.437449,22693961,4231179833
EGAF00001150448,26.860046,13599921,2487698503
EGAF00001150457,22.231525,13694729,2502165341
EGAF00001150465,22.931988,23907569,4370053624
EGAF00001150466,24.57912,15507934,2844906830
EGAF00001150471,26.370508,11325733,2072155134
EGAF00001150474,27.038729,16166478,3027001928
EGAF00001150475,28.263496,13959906,2594105864
EGAF00001150476,26.524078,13184640,2437253252
EGAF00001150484,23.904335,14475646,2660300994
EGAF00001150490,25.682186,12339304,2251293490
EGAF00001150492,21.775734,20195228,3704632463
EGAF00001150497,26.53674,14650912,2707441723
EGAF00001150501,25.084703,15285666,2864149416
EGAF00001150506,26.216633,7691323,1410332755
EGAF00001150507,20.764381,23654121,4420904210
EGAF00001150508,31.682508,8967172,1614348493
EGAF00001150509,27.186472,12531251,2369954497
EGAF00001150514,25.20051,10969880,2025343351
EGAF00001150517,31.831318,6813892,1218898705
EGAF00001150520,25.95917,14253197,2570568264
EGAF00001150521,27.540154,12177083,2222707347
EGAF00001150526,22.353226,10427129,1946370686
EGAF00001150528,25.345552,10058912,1878364599
EGAF00001150529,24.394321,17145219,3160281726
EGAF00001150532,25.981998,10315701,1849025212
EGAF00001150538,25.500185,12131788,2257850694
EGAF00001150546,22.942007,11353300,2127070629
EGAF00001150548,26.304108,15434862,2822682293
EGAF00001150551,29.368305,9526775,1711084530
EGAF00001150555,26.067257,10736266,1996902998
EGAF00001150557,25.619053,18715314,3359899851
EGAF00001150558,22.53027,17279002,3167524788
EGAF00001150559,28.613503,12418057,2243201559
EGAF00001150561,32.737118,9404191,1719203758
EGAF00001150562,24.682861,13678879,2488682818
EGAF00001150563,26.044876,12877454,2346486557
EGAF00001150565,24.721045,16138664,2957992381
EGAF00001150568,27.626831,11504518,2091213962
EGAF00001150572,26.34412,11540908,2096935009
EGAF00001150576,25.400024,12797326,2358337749
EGAF00001150577,21.124237,12049657,2187391397
EGAF00001150580,24.8936,30039258,5507711407
EGAF00001150584,27.077728,17987892,3288627216
EGAF00001150589,33.963116,8555649,1528967020
EGAF00001150596,22.953362,12381930,2307061077
EGAF00001150598,24.888504,10822528,1951064371
EGAF00001150599,27.7438,11817173,2140723474
EGAF00001150600,29.391407,6612138,1219379125
EGAF00001150601,27.146603,10298439,1913163518
EGAF00001150605,28.462387,11140695,2051020288
EGAF00001150606,28.748726,9659405,1703703431
EGAF00001150607,29.556757,11671748,2126193714
EGAF00001150614,22.154558,17265449,3148462164
EGAF00001150615,26.13681,10107851,1837096600
EGAF00001150622,31.668926,8460431,1479479567
EGAF00001150628,23.481453,12669736,2313450857
EGAF00001150629,37.124092,6454718,1155835544
EGAF00001150637,25.31777,15430359,2816578511
EGAF00001150640,28.936499,9039080,1696747246
EGAF00001150643,30.220217,10253633,1888876313
EGAF00001150645,28.849995,12317499,2309329133
EGAF00001150646,25.340265,12507813,2294144200
EGAF00001150647,25.089848,16521293,3051011663
EGAF00001150648,23.499166,17358233,3174155060
EGAF00001150652,22.021925,16146550,2999125939
EGAF00001150654,24.41144,15264042,2854801740
EGAF00001150656,29.28524,11581017,2123746145
EGAF00001150657,26.255482,14294330,2642059929
EGAF00001150659,28.51093,6194262,1090403445
EGAF00001150661,24.23032,16174533,2974935629
