sample,unmapped,Reads_pe,Bases_pe
S1,25.855684,10357993,2944239040
S10,25.12471,13789254,3985761189
S100,22.573746,15643558,3876932134
S101,20.20725,17831125,4923200461
S102,18.698662,15117470,4068804683
S103,30.079449,15936312,4397615959
S104,23.532736,22593599,5618341759
S105,24.539625,8821190,2473428102
S106,25.659578,10998986,3203652863
S107,27.187765,15735718,4425519991
S108,21.796125,15696417,4346339818
S109,19.570356,13665764,3942084634
S11,21.799559,16197678,4716866278
S110,23.213911,14847270,4327279008
S111,23.67596,11094318,3104277605
S112,22.652298,21714514,5641291056
S113,22.23112,13496684,3930668715
S114,24.723864,10868222,3161382220
S115,47.970898,6965073,2011974399
S116,34.74971,7540302,2172300475
S117,27.265537,8307039,2397782889
S118,25.304306,13443677,3873634919
S119,36.22229,9100343,2568423278
S12,21.498924,23076804,6659113081
S120,37.19439,8318132,2333987059
S121,20.933365,14631805,3766212560
S122,24.303394,10247794,2951893145
S123,20.818693,16223554,4716778970
S124,22.155964,16203520,4605955342
S125,27.228182,18747921,4926210142
S126,19.192337,15816649,4248010275
S127,23.083479,14311159,4135234379
S128,23.419159,16391061,4251132243
S129,22.996586,18540556,5129542387
S13,22.749609,15269049,4431435733
S130,27.496635,18702214,5073389189
S131,24.003977,8010135,2242627314
S132,26.565695,12510739,3421946666
S133,22.647238,29995311,8499631544
S134,31.503016,13128239,3657701275
S135,23.581291,10062321,2851009249
S136,23.838049,14498474,3945647574
S137,25.823324,9002157,2551903263
S138,22.23742,10401700,3048125634
S139,20.896643,13776145,3915887647
S14,24.53776,12588538,3633816907
S140,29.137224,15474353,4330179301
S141,24.111128,14056699,3977644430
S142,22.140991,17277828,5044583581
S143,22.050184,17962165,5116278903
S144,20.332314,17030370,4940934778
S145,19.859213,12982336,3702849236
S146,21.847433,13766511,3910300996
S147,27.39936,10686921,3022063155
S148,23.660963,16027027,4612344492
S149,24.317719,12783750,3635622668
S15,23.515999,12979142,3566574492
S150,21.316332,15202996,4343442556
S151,21.01816,19134830,5496908178
S152,21.598328,19401912,5672034975
S153,21.650904,19266663,5571480594
S154,35.132664,14503797,4123390008
S155,28.112484,14480175,4234161168
S156,19.13172,21239681,6173144057
S157,24.805218,13906707,4041907221
S158,23.112165,15434313,4505437021
S159,23.981375,18569821,5323237369
S16,24.690664,9369081,2704874858
S160,29.301792,11985962,3477509014
S161,22.803677,15300135,4390580563
S162,22.965033,18606577,5420650129
S163,24.788021,16193902,4690966800
S164,21.604156,10555462,3090338299
S165,21.683968,13526725,3952627413
S166,23.56695,17447095,5038720083
S167,25.429165,15698806,4517226380
S168,22.668964,12432129,3619953050
S169,25.34923,13610237,3744634266
S17,25.813442,15171555,4157054283
S170,19.960123,16572152,4607562701
S171,20.155424,14398905,4075488070
S172,22.468544,14763032,4307070637
S173,22.177792,13534175,3917957718
S174,23.295849,12375719,3612207105
S175,20.083935,18190603,5264918165
S176,21.9761,15580985,4544314516
S18,28.433764,22676213,5604501300
S19,28.950565,15834074,4230140596
S2,20.478714,15007546,4094455513
S20,19.578522,19836059,5328376378
S21,21.850449,14982853,4128795458
S22,19.99721,13446681,3723637498
S23,22.502583,15454876,4251760823
S24,23.180653,16197128,4375406682
S25,24.021685,18636538,4781344707
S26,29.52937,16597007,4516052672
S27,34.4819,11061553,3093714590
S28,33.924778,12190189,3243137214
S29,30.15151,9033426,2553549242
S3,36.362587,14174498,4127526589
S30,23.972458,15558963,4439293838
S31,23.22284,11944522,3326637511
S32,22.498798,21483246,5742066330
S33,23.751741,16571946,4580887275
S34,35.902035,14568765,3870095229
S35,28.876091,15835175,4221316107
S36,21.086042,16430559,4767153321
S37,20.956528,16559190,4613615344
S38,21.998047,19859235,5673223734
S39,19.92525,18964539,5490754306
S4,22.39868,12121392,3500581038
S40,25.982893,15593876,4282576298
S41,24.328201,19630166,5338012004
S42,24.149757,17243430,4651238492
S43,21.871984,15341163,4007979866
S44,20.554459,20509660,5420794575
S45,21.227043,15576437,4441268781
S46,27.412945,7430442,2116915143
S47,23.925055,12844001,3742626424
S48,23.90337,13785371,4010950601
S49,23.87616,13442525,3691608805
