HRGM name	Genome name	GTDB Taxonomy	Member Count	Continents	Country	Study	Genome type	16S rRNA	Quality	Completeness (%)	Contamination (%)	N50 (bp)	Genome Length (bp)
HRGM_Genome_0001	GUT_GENOME096239	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Domibacillaceae_A;g__Bacillus_O;s__Bacillus_O smithii	1			NCBI	Isolate	Direct	HQ	98.63	0	176274	3238901
HRGM_Genome_0002	GUT_GENOME096240	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae;g__Coprobacter;s__Coprobacter fastidiosus	251	Oceania;NA;North America;Asia;Europe	Mongolia;Denmark;South Korea;NA;Italy;Sweden;Australia;France;United Kingdom;Germany;Canada;Spain;China;Russia;Japan;Israel;United States	NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;CGR;EBI	MAG;Isolate	Direct	HQ	99.62	0	694335	3867973
HRGM_Genome_0003	GUT_GENOME219276	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae;g__Coprobacter;s__	6	North America;Asia	Japan;United States;China	HGM;KIJ;EBI	MAG	Indirect	HQ	93.58	0.38	183075	3080391
HRGM_Genome_0004	GUT_GENOME096243	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R	25	Africa;NA;Asia;North America;Europe	Denmark;South Korea;South Africa;NA;Sweden;Japan;United States	NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.32	0	832312	1895632
HRGM_Genome_0005	GUT_GENOME143095	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_K	1	Oceania	Australia	PATRIC/IMG	Isolate	Direct	HQ	99.26	0.49	300266	1915934
HRGM_Genome_0006	GUT_GENOME143096	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_B	3	Africa;NA	South Africa;NA	PATRIC/IMG	Isolate	Direct	HQ	99.88	0	260338	1836142
HRGM_Genome_0007	GUT_GENOME143097	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_E	1	Africa	South Africa	PATRIC/IMG	Isolate	Direct	HQ	99.88	0.94	190490	1872282
HRGM_Genome_0008	GUT_GENOME143098	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_W	1	Africa	South Africa	PATRIC/IMG	Isolate	Direct	HQ	99.88	0.56	150974	1937734
HRGM_Genome_0009	GUT_GENOME143101	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_I	1	Africa	South Africa	PATRIC/IMG	Isolate	Direct	HQ	99.88	0.12	256243	1854434
HRGM_Genome_0010	GUT_GENOME143103	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_L	1	Africa	South Africa	PATRIC/IMG	Isolate	Direct	HQ	99.82	0.37	179898	1891545
HRGM_Genome_0011	GUT_GENOME143105	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_I	1	Europe	Denmark	PATRIC/IMG	Isolate	Direct	HQ	99.88	0.12	100202	1906669
HRGM_Genome_0012	GUT_GENOME143112	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_D	5	Europe	Denmark	PATRIC/IMG	Isolate	Direct	HQ	99.51	0.86	48338	2010217
HRGM_Genome_0013	GUT_GENOME143115	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_P	1	Europe	Denmark	PATRIC/IMG	Isolate	Direct	HQ	99.88	0.49	138913	1923750
HRGM_Genome_0014	GUT_GENOME143116	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_G	2	Europe	Denmark	PATRIC/IMG	Isolate	Direct	HQ	99.14	0.62	14154	1924634
